Novice,Novice/0/0/5/novice
Combattant,Fighter/0/6/15/0-0
Chasseur,Hunter/2/6/15/0-2
Acolyte,Acolyte/4/6/15/0-4
Ensorceleur,Spellcaster/6/6/15/0-6
Mécanicien,Mechanic/8/6/15/0-8
Voyageur,Wanderer/10/6/15/0-10
Guerrier,Warrior/0/16/30/1-0
Archer,Archer/2/16/30/1-2
Prêtre,Priest/4/16/30/1-4
Magicien,Mage/6/16/30/1-6
Machiniste,Machinist/8/16/30/1-8
Explorateur,Drifter/10/16/30/1-10
Berserker,Berserker/0/31/65/2-0
Paladin,Paladin/1/31/65/2-1
Ranger,Ranger/2/31/65/2-2
Assassin,Assassin/3/31/65/2-3
Clerc,Cleric/4/31/65/2-4
Sage,Sage/5/31/65/2-5
Sorcier,Wizard/6/31/65/2-6
N�écromancien,Necromancer/7/31/65/2-7
Métalleux,Engineer/8/31/65/2-8
Démolisseur,Demolitionist/9/31/65/2-9
Spatiodériveur,Void Runner/10/31/65/2-10
Chronodériveur,Time Traveler/11/31/65/2-11
Gladiateur,Warlord/0/66/85/3-0
Vindicateur,Templar/1/66/85/3-1
Traqueur,Sharpshooter/2/66/85/3-2
Ninja,Darkstalker/3/66/85/3-3
Rédempteur,Prophet/4/66/85/3-4
Oracle,Mystic/5/66/85/3-5
Archimage,Archmage/6/66/85/3-6
Démoniste,Demonologist/7/66/85/3-7
Prime,Gearmaster/8/66/85/3-8
Optimus,Gunner/9/66/85/3-9
Ronin,Dimensionalist/10/66/85/3-10
Horloger,Key master/11/66/85/3-11
Ravageur,Deathknight/0/86/90/4-0
Templier,Crusader/1/86/90/4-1
Sniper,Hawkeye/2/86/90/4-2
Shinobi,Windshadow/3/86/90/4-3
Exorciste,Saint/4/86/90/4-4
Shaman,Shaman/5/86/90/4-5
Avatar,Avatar/6/86/90/4-6
Shinigami,Shadowlord/7/86/90/4-7
Mégatron,Cogmaster/8/86/90/4-8
Galvatron,Bombardier/9/86/90/4-9
Occultiste,Reaper/10/86/90/4-10
Augure,Chronomancer/11/86/90/4-11
Destructeur,Destroyer/0/91/100/5-0
Croisé,Holy Knight/1/91/100/5-1
Prédateur,Predator/2/91/100/5-2
Kage,Shinobi/3/91/100/5-3
Archange,Archangel/4/91/100/5-4
Druide,Druid/5/91/100/5-5
Arcaniste,Warlock/6/91/100/5-6
Faucheur,Shinigami/7/91/100/5-7
Oméga,Mechmaster/8/91/100/5-8
Suprême,Artillerist/9/91/100/5-9
Dimensionaliste,Phantom/10/91/100/5-10
Chronomancien,Chronoshifter/11/91/100/5-11
